,Latitude,Longitude,Measurement,Year,DensityClass
5439,16.88,-81.53,0.00216,1995,1
5440,25.89,-77.83,0.00216,1995,1
5441,24.1,-81.2,0.00216,1995,1
5442,26.86,-79.48,0.00216,1996,1
5443,32.07,-78.21,0.00216,1996,1
5444,17.0,-79.5,0.00216,1996,1
5445,21.11,-60.02,0.00216,1996,1
5446,27.99,-79.72,0.00216,1996,1
5447,17.35,-60.34,0.00216,1996,1
5448,12.43,-60.13,0.00216,1996,1
5449,14.85,-61.93,0.00216,1996,1
5450,43.27,-67.3,0.00216,1996,1
5451,13.08,-61.82,0.00216,1996,1
5452,32.17,-77.34,0.00216,1996,1
5453,15.73,-62.37,0.00216,1996,1
5454,42.3,-67.95,0.00216,1996,1
5455,41.49,-70.9,0.00216,1996,1
5456,42.25,-69.67,0.00216,1996,1
5457,16.5,-77.6,0.00216,1997,1
5458,28.05,-79.73,0.00216,1997,1
5459,16.78,-72.77,0.00216,1997,1
5460,41.16,-70.98,0.00216,1997,1
5461,15.38,-61.58,0.00216,1997,1
5462,17.65,-82.97,0.00216,1997,1
5463,21.37,-70.15,0.00216,1997,1
5464,18.27,-64.47,0.00216,1997,1
5465,39.6,-69.48,0.00216,1997,1
5466,40.3,-69.57,0.00216,1997,1
5467,31.85,-64.13,0.00216,1997,1
5468,39.73,-66.13,0.00216,1997,1
5469,26.95,-79.85,0.00216,1997,1
5470,44.36,-62.33,0.00216,1997,1
5471,16.78,-72.77,0.00216,1997,1
5472,17.29,-84.13,0.00216,1998,1
5473,43.0,-60.62,0.00216,1998,1
5474,11.91,-63.24,0.00216,1998,1
5475,40.0,-70.15,0.00216,1998,1
5476,24.38,-80.03,0.00216,1998,1
5477,12.1,-68.34,0.00216,1998,1
5478,21.67,-60.02,0.00216,1998,1
5479,17.71,-74.35,0.00216,1998,1
5480,22.22,-67.83,0.00216,1998,1
5481,36.39,-66.42,0.00216,1998,1
5482,46.35,-58.87,0.00216,1998,1
5483,15.81,-64.17,0.00216,1998,1
5484,19.71,-79.57,0.00216,1998,1
5485,42.45,-68.49,0.00216,1998,1
5486,40.7,-69.33,0.00216,1998,1
5487,41.01,-66.33,0.00216,1998,1
5488,11.21,-59.47,0.00216,1998,1
5489,26.55,-76.32,0.00216,1998,1
5490,19.23,-74.53,0.00216,1998,1
